Marca temporal,País,Provincia/Estado,Edad,¿En cuales de las siguientes redes sociales tiene iniciada sesión en este momento? ,¿Desde qué dispositivo realiza la prueba? ,"¿Qué sistema operativo utiliza en su dispositivo? (Celular, Tablet o Computadora Personal) ",Respuestas consulta 1,Respuestas consulta 2,Respuestas consulta 3
5/08/2016 13:02:29,Argentina,Bs As,Entre 31 y 45 años,"Amazon, Gmail, Facebook, Twitter",Computadora personal,GNU\Linux,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
Atletismo para Veteran@s (Spanish Edition)
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score
Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Amazon's Palermo Page
Palermo, City of Kings: The Heart of Sicily"
5/08/2016 13:12:51,Argentina,Buenos Aires,Entre 21 y 30 años,Gmail,Conputadora laboral,Windows,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006

Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014

La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score

Caballo de fuego 2. Congo (Spanish Edition)

Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital

Amazon's Palermo Page

Palermo, City of Kings: The Heart of Sicily

Lonely Planet Sicily (Travel Guide)"
5/08/2016 13:19:07,Argentina,Mendoza,Entre 45 y 60 años,Gmail,Computadora personal,Windows,Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition),Atletismo para Veteran@s (Spanish Edition),La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)
5/08/2016 13:20:58,Argentina,Buenos Aires,Entre 31 y 45 años,"Amazon, Gmail, INTA :D",Computadora personal,Windows,Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition),Atletismo para Veteran@s (Spanish Edition),La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)
5/08/2016 13:23:18,Argentina,Buenos Aires,Entre 31 y 45 años,"Amazon, Gmail",PC o Notebook,Windows,Florencia En El Amazonas: Opera Vocal Score,Caballo de fuego 2. Congo (Spanish Edition),Caballo de Fuego 3. Gaza (Spanish Edition)
5/08/2016 13:25:47,Argetina,Buenos Aires,Entre 31 y 45 años,"Amazon, Gmail",PC o Notebook,Windows,"Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital",Amazon's Palermo Page,"Palermo, City of Kings: The Heart of Sicily"
5/08/2016 13:55:11,Argentina,Santa Fe,Entre 45 y 60 años,ninguna,PC o Notebook,Android,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
Atletismo para Veteran@s (Spanish Edition)
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score
Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Amazon's Palermo Page
Palermo, City of Kings: The Heart of Sicily"
5/08/2016 14:04:32,Argentina,Santiago del Estero,Entre 31 y 45 años,Facebook,PC o Notebook,Windows,"

Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006
by Clareth Jaramillo Rodriguez
Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014
by César Sanz
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)Jan 17, 2012
by Pedro Jiménez Reyes and Juan José González Badillo
","Florencia En El Amazonas: Opera Vocal ScoreFeb 1, 2007
by Daniel Catan
Caballo de fuego 2. Congo (Spanish Edition)Nov 11, 2014
by Florencia Bonelli
Caballo de Fuego 3. Gaza (Spanish Edition)Dec 9, 2014
by Florencia Bonelli","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient CapitalAug 25, 2015
by Allan Langdale

Amazon's Palermo Page 
Discover books, read about the author, find related products, and more.More about Palermo 
Bestselling Books:Blinky Palermo: Retrospective 1964-77 (Dia Foundation). 
Palermo, City of Kings: The Heart of SicilyMay 30, 2015
by Jeremy Dummett"
5/08/2016 16:32:18,Argentina,Buenos Aires,Entre 21 y 30 años,"Gmail, Twitter, Youtube",PC o Notebook,GNU\Linux,"- Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)
- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Caballo de fuego 2. Congo (Spanish Edition)
- Caballo de fuego 3. Gaza (Spanish Edition)","- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital
- Palermo, City of Kings: The Heart of Sicily
- Lonely Planet Sicily (Travel Guide)"
5/08/2016 16:45:01,Argentina,Buenos Aires,Entre 45 y 60 años,"LinkedIn, Yammer",PC o Notebook,Windows,"-Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
-Atletismo para Veteran@s (Spanish Edition)
-La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","-Florencia En El Amazonas: Opera Vocal Score
-Caballo de fuego 2. Congo (Spanish Edition)
-Caballo de Fuego 3. Gaza (Spanish Edition)","-Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
-Amazon's Palermo Page
-Palermo, City of Kings: The Heart of Sicily"
5/08/2016 17:02:40,Argentina,Mendoza,Entre 31 y 45 años,"Gmail, Twitter",PC o Notebook,GNU\Linux,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
Atletismo para Veteran@s (Spanish Edition)
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score
Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Palermo, City of Kings: The Heart of Sicily
Lonely Planet Sicily (Travel Guide)"
5/08/2016 17:28:55,Argentina,Capital Federal,Entre 31 y 45 años,"Gmail, Facebook",PC o Notebook,GNU\Linux,"Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)
Product Details
Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
V copa del mundo De Atletismo Sport Shoes -Framed Postage Stamp Art 6937","Florencia En El Amazonas: Opera Vocal Score
Obsession (Year of Fire)
ALA Eye & Neck Lifting Cream, MiCo Michelle's Cosmetics by Florencia, Anti...","Palermo DTH-81 Digital Electronic BBQ Thermometer with Collapsible Internal Probe, Blue
5 Blade Spiralizer - Best Vegetable Maker, Spiral Slicer, Peeler, and Shredder You'll Ever Use! Makes Zucchini...
Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital"
5/08/2016 17:53:51,Argentina,Buenos Aires,Entre 31 y 45 años,"Amazon, Facebook",PC o Notebook,Windows,"- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)
- La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire)
- Caballo de Fuego 3. Gaza (Spanish Edition)","- Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
- Palermo, City of Kings: The Heart of Sicily
- Lonely Planet Sicily (Travel Guide)"
5/08/2016 17:58:04,Argentina,Capital Federal,Entre 45 y 60 años,"Gmail, LinkedIn, Whastshap",PC o Notebook,Windows,"-Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
-Atletismo para Veteran@s (Spanish Edition)  Kindle Edition 
-La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition) 
","-Inferno (Robert Langdon) Paperback  – May 6, 2014 
-Florencia En El Amazonas: Opera Vocal Score Paperback  – February 1, 2007
-Obsession (Year of Fire) Paperback  – July 23, 2013 ","-Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital Paperback  – August 25, 2015 
-Blinky Palermo: Retrospective 1964-77 (Dia Foundation) Hardcover  – December 14, 2010 
-Palermo, City of Kings: The Heart of Sicily Hardcover  – May 30, 2015"
5/08/2016 18:32:30,Argentina,Buenos Aires,Entre 31 y 45 años,Gmail,PC o Notebook,GNU\Linux,"- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)
- La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire)
- Caballo de fuego 2. Congo (Spanish Edition)","- Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
- Palermo, City of Kings: The Heart of Sicily
- Lonely Planet Sicily (Travel Guide)"
5/08/2016 19:05:15,Argentina,Bs. As.,Entre 45 y 60 años,"Amazon, Gmail, Facebook, Spotify, Scoop.it",PC o Notebook,Windows,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006
by Clareth Jaramillo Rodriguez
Paperback
$15.95Prime
Temporarily out of stock. Order now and we'll deliver when available.
More Buying Choices
$15.95used & new(13 offers)
FREE Shipping on eligible orders
Product Details
Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014
by César Sanz
Kindle Edition
$2.99
Auto-delivered wirelessly
Borrow for free from your Kindle device.Join Amazon Prime
Product Details
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)Jan 17, 2012
by Pedro Jiménez Reyes and Juan José González Badillo","Florencia En El Amazonas: Opera Vocal ScoreFeb 1, 2007
by Daniel Catan
Paperback
$65.00Prime
Only 4 left in stock - order soon.
More Buying Choices
$33.08used & new(23 offers)
5 out of 5 stars 3
Trade in yours for an Amazon Gift Card up to $8.28
FREE Shipping on eligible orders
Product Details
Obsession (Year of Fire Book 1)Jul 23, 2013
by Florencia Bonelli and Rosemary Peele
Kindle Edition
$4.99
Whispersync for Voice-ready
Paperback
$10.99$14.95Prime
Get it by Monday, Aug 8
More Buying Choices
$10.44used & new(19 offers)
Other Formats:Audible Audio Edition, MP3 CD
4.1 out of 5 stars 102
Excerpt
Front Cover : OBSESSION A Year of Fire Novel FLORENCIA BONELLISee a random page in this book.
Product Details
Caballo de fuego 2. Congo (Spanish Edition)Nov","Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient CapitalApr 22, 2015
by Allan Langdale
Kindle Edition
$3.49
Auto-delivered wirelessly
Paperback
$10.99Prime
Get it by Monday, Aug 8
More Buying Choices
$10.89used & new(2 offers)
4.4 out of 5 stars 10
Excerpt
Front Cover : Palermo: Travels in the City of Happiness rtSee a random page in this book.

Amazon's Palermo Page
Discover books, read about the author, find related products, and more.More about Palermo
Bestselling Books:Blinky Palermo: Retrospective 1964-77 (Dia Foundation).
Product Details
Palermo, City of Kings: The Heart of SicilyApr 1, 2015
by Jeremy Dummett
Kindle Edition
$15.66
Auto-delivered wirelessly
Hardcover
$19.04$28.00Prime
Get it by Monday, Aug 8
More Buying Choices
$15.04used & new(56 offers)
5 out of 5 stars 1
Excerpt
Table of Contents : ... The Story of Palermo From Phoenician Settlement to Modern Times 1. ...See a random page in this book.
Product Details
Lonely Planet Sicily (Travel Guide)D"
5/08/2016 19:46:48,Argentina,La Pampa,Entre 31 y 45 años,"Gmail, Twitter, LinkedIn",Celular,Android,"- 	
Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos...
by Clareth Jaramillo Rodriguez
$15.95
Temporarily out of stock. Order now and we'll deliver when available.
FREE Shipping on eligible orders
13 offers from $15.95
- 
	
Atletismo para Veteran@s (Spanish Edition)
by César Sanz
$0.00kindleunlimited
$2.99to buy
Auto-delivered wirelessly
Subscribers read for free.

 -La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad
","	
Florencia En El Amazonas: Opera Vocal Score
by Daniel Catan
Paperback
$65.00
FREE Shipping on eligible orders
4 left in stock - order soon
23 offers from $33.08
Trade in yours for an Amazon Gift Card up to $8.28
5 out of 5 stars (3)

	
Obsession (Year of Fire)
by Florencia Bonelli
Paperback
$10.99$14.95
Get it by Monday, Aug 8
FREE Shipping on eligible orders
19 offers from $10.44
4.1 out of 5 stars (102)
Other Formats: Kindle Edition, Audible Audio Edition, +1 more

- 	
Caballo de fuego 2. Congo (Spanish Edition)
by Florencia Bonelli
Paperback
$22.39$26.95
FREE Shipping on eligible orders
1 left in stock - order soon
20 offers from $8.99
4.5 out of 5 stars (15)
","- 	
Best Seller
Palermo DTH-81 Digital Electronic BBQ Thermometer with Collapsible Internal Probe...
by Palermo
$18.97$26.97
Get it by Monday, Aug 8
FREE Shipping on eligible orders
2 offers from $17.07
4.5 out of 5 stars (1,041)
More choices available

- 	
Best Seller
5 Blade Spiralizer - Best Vegetable Maker, Spiral Slicer, Peeler, and Shredder...
by P.
$34.97$49.95
Get it by Monday, Aug 8
FREE Shipping on eligible orders
20% off item with purchase of 1 items
4.5 out of 5 stars (1,211)

- 	
Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's...
by Allan Langdale
$0.00kindleunlimited
$3.49to buy
Subscribers read for free.
4.4 out of 5 stars (10)
"
6/08/2016 16:14:02,Argentina,Ciudad Autónoma de Buenos Aires,Entre 31 y 45 años,"Gmail, Facebook",PC o Notebook,GNU\Linux,"- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)
- La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire)
- Caballo de fuego 2. Congo (Spanish Edition)","- Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
- Amazon's Palermo Page
- Palermo, City of Kings: The Heart of Sicily"
7/08/2016 0:16:12,Argentina,Buenos Aires,Entre 31 y 45 años,"Gmail, Twitter",PC o Notebook,GNU\Linux,"- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)
- La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire Book 1)
- Caballo de fuego 2. Congo (Spanish Edition)","- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital
- Palermo, City of Kings: The Heart of Sicily
- Lonely Planet Sicily (Travel Guide)"
7/08/2016 19:29:25,Alemania,Berlin,Entre 15 y 20 años,Amazon,PC o Notebook,GNU\Linux,"Product Details
Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)Jul 1, 2016
by Andrés Rieznik
Kindle Edition
$8.92
Auto-delivered wirelessly
Product Details
Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006
by Clareth Jaramillo Rodriguez
Paperback
$15.95Prime
Temporarily out of stock. Order now and we'll deliver when available.
More Buying Choices
$15.95used & new(13 offers)
FREE Shipping on eligible orders
Product Details
Atletismo para Veteran@s (Spanish Edition)","Florencia En El Amazonas: Opera Vocal ScoreFeb 1, 2007
by Daniel Catan
Paperback
$65.00Prime
Only 4 left in stock - order soon.
More Buying Choices
$33.08used & new(22 offers)
5 out of 5 stars 3
Trade in yours for an Amazon Gift Card up to $2.00
FREE Shipping on eligible orders
Product Details
Obsession (Year of Fire)Jul 23, 2013
by Florencia Bonelli and Rosemary Peele
Paperback
$10.99$14.95Prime
Get it by Tuesday, Aug 9
More Buying Choices
$10.44used & new(19 offers)
Kindle Edition
$0.00
Subscribers read for free.Learn more.
$6.69to buy
Whispersync for Voice-ready
Other Formats:Audible Audio Edition, MP3 CD
4.1 out of 5 stars 102
FREE Shipping on eligible orders
Excerpt
Front Cover : OBSESSION A Year of Fire Novel FLORENCIA BONELLISee a random page in this book.
Product Details
Caballo de fuego 2. Congo (Spanish Edition)Nov 11, 2014","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient CapitalAug 25, 2015
by Allan Langdale
Paperback
$10.89used & new(1 offer)
Kindle Edition
$0.00
Subscribers read for free.Learn more.
$3.57to buy
Auto-delivered wirelessly
4.4 out of 5 stars 10
Excerpt
Front Cover : Palermo: Travels in the City of Happiness rtSee a random page in this book.
Amazon's Palermo Page
Discover books, read about the author, find related products, and more.More about Palermo
Bestselling Books:Blinky Palermo: Retrospective 1964-77 (Dia Foundation).
Product Details
Palermo, City of Kings: The Heart of SicilyMay 30, 2015"
7/08/2016 21:59:01,Francia,Paris,Entre 45 y 60 años,Amazon,PC o Notebook,GNU\Linux,"
1-12 of 296 results for Books :
""atletismo"" 
Sort by 

    Product Details
    Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)Jul 1, 2016
    by Andrés Rieznik
    Kindle Edition
    $8.92
    Auto-delivered wirelessly
    Product Details
    Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006
    by Clareth Jaramillo Rodriguez
    Paperback
    $15.95Prime
    Temporarily out of stock. Order now and we'll deliver when available.
    More Buying Choices
    $15.95used & new(13 offers)
    FREE Shipping on eligible orders
    Product Details
    Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014
    by César Sanz
    Kindle Edition
    $3.33
    Auto-delivered wirelessly
    Borrow for free from your Kindle device.Join Amazon Prime","Product Details
Florencia En El Amazonas: Opera Vocal ScoreFeb 1, 2007
by Daniel Catan
Paperback
$65.00Prime
Only 4 left in stock - order soon.
More Buying Choices
$33.08used & new(22 offers)
5 out of 5 stars 3
Trade in yours for an Amazon Gift Card up to $2.00
FREE Shipping on eligible orders
Product Details
Obsession (Year of Fire)Jul 23, 2013
by Florencia Bonelli and Rosemary Peele
Paperback
$10.99$14.95Prime
Get it by Tuesday, Aug 9
More Buying Choices
$10.44used & new(19 offers)
Kindle Edition
$5.32
Whispersync for Voice-ready
Other Formats:Audible Audio Edition, MP3 CD
4.1 out of 5 stars 102
FREE Shipping on eligible orders
Excerpt
Front Cover : OBSESSION A Year of Fire Novel FLORENCIA BONELLISee a random page in this book.
Product Details
Caballo de fuego 2. Congo (Spanish Edition)Nov 11, 2014
by Florencia Bonelli","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient CapitalAug 25, 2015
by Allan Langdale
Paperback
$10.89used & new(1 offer)
Kindle Edition
$3.57
Auto-delivered wirelessly
4.4 out of 5 stars 10
Excerpt
Front Cover : Palermo: Travels in the City of Happiness rtSee a random page in this book.
Amazon's Palermo Page
Discover books, read about the author, find related products, and more.More about Palermo
Bestselling Books:Blinky Palermo: Retrospective 1964-77 (Dia Foundation).
Product Details
Palermo, City of Kings: The Heart of SicilyMay 30, 2015"
7/08/2016 22:14:14,Francia,Paris,Entre 31 y 45 años,Amazon,PC o Notebook,GNU\Linux,"- Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)
- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)","-Florencia En El Amazonas: Opera Vocal Score
-Obsession (Year of Fire)
-Caballo de fuego 2. Congo (Spanish Edition)","-Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
-Palermo, City of Kings: The Heart of Sicily
-Lonely Planet Sicily (Travel Guide)"
7/08/2016 22:16:14,argentina,buenos aires,Entre 31 y 45 años,"Gmail, LinkedIn",PC o Notebook,Windows,"* Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
* Atletismo para Veteran@s (Spanish Edition)
* 1169 Ejercicios y Juegos de Atletismo - 2 vol. (Spanish Edition) (Deporte)","Florencia En El Amazonas: Opera Vocal Score
Obsession (Year of Fire)
Caballo de fuego 2. Congo (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Palermo, City of Kings: The Heart of Sicily
Lonely Planet Sicily (Travel Guide)"
8/08/2016 17:04:04,Argentina,Buenos Aires,Entre 31 y 45 años,"Gmail, Spotify",PC o Notebook,Android,Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition),Atletismo para Veteran@s (Spanish Edition),La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)
8/08/2016 18:02:43,Argentina,Buenos Aires,Entre 31 y 45 años,Gmail,PC o Notebook,GNU\Linux,"-Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)
-La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire)
- Caballo de fuego 2. Congo (Spanish Edition)","- Palermo, City of Kings: The Heart of Sicily
- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital
- Lonely Planet Sicily (Travel Guide)"
9/08/2016 4:04:06,España,Barcelona,Entre 31 y 45 años,"Gmail, LinkedIn",PC o Notebook,iOS,"- Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)
- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire)
- Caballo de fuego 2. Congo (Spanish Edition)","- Palermo, City of Kings: The Heart of Sicily
- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital
- Lonely Planet Sicily (Travel Guide)"
9/08/2016 12:08:25,Argentina,Buenos Aires,Entre 31 y 45 años,"Gmail, Twitter, LinkedIn",PC o Notebook,GNU\Linux,"- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)
- La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Obsession (Year of Fire)
- Caballo de fuego 2. Congo (Spanish Edition)","- Palermo, City of Kings: The Heart of Sicily
- Amazon's Palermo Page
- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital"
10/08/2016 9:41:37,argentina,CBA,Entre 45 y 60 años,"Gmail, Facebook, LinkedIn",PC o Notebook,Windows,"Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014 by César Sanz
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)Jan 17, 2012 by Pedro Jiménez Reyes and Juan José González Badillo
Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006
by Clareth Jaramillo Rodriguez","Caballo de fuego 2. Congo (Spanish Edition)Nov 11, 2014 by Florencia Bonelli
Caballo de Fuego 3. Gaza (Spanish Edition)Dec 9, 2014 by Florencia Bonelli
Passion (Year of Fire)Jan 21, 2014 by Florencia Bonelli and Rosemary Peele","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient CapitalAug 25, 2015 by Allan Langdale
Palermo, City of Kings: The Heart of SicilyMay 30, 2015 by Jeremy Dummett
Lonely Planet Sicily (Travel Guide)Jan 1, 2014 by Lonely Planet and Gregor Clark"
10/08/2016 15:07:36,Argentina,Salta,Entre 31 y 45 años,"Gmail, Facebook",PC o Notebook,Windows,"Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)
Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)","Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)
Passion (Year of Fire)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Amazon's Palermo Page
Palermo, City of Kings: The Heart of Sicily"
11/08/2016 2:26:49,Argentina,CABA,Entre 31 y 45 años,Gmail,PC o Notebook,GNU\Linux,"- Atletismo para Veteran@s (Spanish Edition)
- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para niños (Spanish Edition)","- Caballo de fuego 2. Congo (Spanish Edition)
- Obsession (Year of Fire Book 1)
- Florencia en el Amazonas","- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital
- Palermo DTH-81 Digital Electronic BBQ Thermometer with Collapsible Internal Probe, Blue
- 5 Blade Spiralizer - Best Vegetable Maker, Spiral Slicer, Peeler, and Shredder You'll Ever Use! Makes Zucchini..."