,Marca.temporal,Momento del día en Argentina,País,Provincia.Estado,Edad,Dispositivo,SO,Amazon,Gmail,Facebook,Twitter,Spotify,LinkedIn,Otro,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C2.1,C2.2,C2.3,C2.4,C2.5,C2.6,C2.7,C3.1,C3.2,C3.3,C3.4,C3.5,C3.6,C3.7
1,5/08/2016 13:02:29,Tarde,Argentina,Bs As,Entre 31 y 45 años,Computadora personal,GNU\Linux,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
2,5/08/2016 13:12:51,Tarde,Argentina,Buenos Aires,Entre 21 y 30 años,Conputadora laboral,Windows,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
7,5/08/2016 13:55:11,Tarde,Argentina,Santa Fe,Entre 45 y 60 años,PC o Notebook,Android,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1
8,5/08/2016 14:04:32,Tarde,Argentina,Santiago del Estero,Entre 31 y 45 años,PC o Notebook,Windows,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
9,5/08/2016 16:32:18,Tarde,Argentina,Buenos Aires,Entre 21 y 30 años,PC o Notebook,GNU\Linux,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
10,5/08/2016 16:45:01,Tarde,Argentina,Buenos Aires,Entre 45 y 60 años,PC o Notebook,Windows,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
11,5/08/2016 17:02:40,Tarde,Argentina,Mendoza,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
12,5/08/2016 17:28:55,Tarde,Argentina,Capital Federal,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1
13,5/08/2016 17:53:51,Tarde,Argentina,Buenos Aires,Entre 31 y 45 años,PC o Notebook,Windows,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
14,5/08/2016 17:58:04,Tarde,Argentina,Capital Federal,Entre 45 y 60 años,PC o Notebook,Windows,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
15,5/08/2016 18:32:30,Tarde,Argentina,Buenos Aires,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
16,5/08/2016 19:05:15,Noche,Argentina,Bs. As.,Entre 45 y 60 años,PC o Notebook,Windows,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1
17,5/08/2016 19:46:48,Noche,Argentina,La Pampa,Entre 31 y 45 años,Celular,Android,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1
18,6/08/2016 16:14:02,Tarde,Argentina,Ciudad Autónoma de Buenos Aires,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
19,7/08/2016 0:16:12,Madrugada,Argentina,Buenos Aires,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
20,7/08/2016 19:29:25,Madrugada,Alemania,Berlin,Entre 15 y 20 años,PC o Notebook,GNU\Linux,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
21,7/08/2016 21:59:01,Madrugada,Francia,Paris,Entre 45 y 60 años,PC o Notebook,GNU\Linux,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
22,7/08/2016 22:14:14,Madrugada,Francia,Paris,Entre 31 y 45 años,PC o Notebook,GNU\Linux,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
23,7/08/2016 22:16:14,Noche,Argentina,buenos aires,Entre 31 y 45 años,PC o Notebook,Windows,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
24,8/08/2016 17:04:04,Tarde,Argentina,Buenos Aires,Entre 31 y 45 años,PC o Notebook,Android,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8/08/2016 18:02:43,Tarde,Argentina,Buenos Aires,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
26,9/08/2016 4:04:06,Mañana,España,Barcelona,Entre 31 y 45 años,PC o Notebook,iOS,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
27,9/08/2016 12:08:25,Mañana,Argentina,Buenos Aires,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1
28,10/08/2016 9:41:37,Mañana,Argentina,CBA,Entre 45 y 60 años,PC o Notebook,Windows,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
29,10/08/2016 15:07:36,Tarde,Argentina,Salta,Entre 31 y 45 años,PC o Notebook,Windows,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
30,11/08/2016 2:26:49,Madrugada,Argentina,CABA,Entre 31 y 45 años,PC o Notebook,GNU\Linux,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
,,,,,,,,6,19,8,6,2,7,5,26,24,16,6,1,,22,22,9,13,1,2,,3,11,1,12,22,3,11
